X62n1211_001:0827a15	雙林承佛勅。住壽諸神山。冥絕去來際。希夷有無間。	雙 林 承 佛 勅 住 壽 諸 神 山 冥 絕 去 來 際 希 夷 有 無 間 
X62n1211_001:0827a16	畫師契真理。清風洗童顏。眾生待饒益。振錫遊人寰。	畫 師 契 真 理 清 風 洗 童 顏 眾 生 待 饒 益 振 錫 遊 人 寰 
X62n1211_001:0827a17	題人攜釣圖	題 人 攜 釣 圖 
X62n1211_001:0827a18	世智日以急。物命慘不舒。嗟哉江海闊。誰能容一魚。	世 智 日 以 急 物 命 慘 不 舒 嗟 哉 江 海 闊 誰 能 容 一 魚 
X62n1211_001:0827a19	之子獨渺志。袖手船中居。放歌歸去來。吾意其無餘。	之 子 獨 渺 志 袖 手 船 中 居 放 歌 歸 去 來 吾 意 其 無 餘 
X62n1211_001:0827a20	入鄧尉觀殘梅	入 鄧 尉 觀 殘 梅 
X62n1211_001:0827a21	梅華欲落不盡落。引我入山到山閣。華開如雲散如	梅 華 欲 落 不 盡 落 引 我 入 山 到 山 閣 華 開 如 雲 散 如 
X62n1211_001:0827a22	煙。山頭翩蹮山下捐。是香非香色非色。色香徧處誰	煙 山 頭 翩 蹮 山 下 捐 是 香 非 香 色 非 色 色 香 徧 處 誰 
X62n1211_001:0827a23	人得。上山下山山日頹。春風送我歸去來。	人 得 上 山 下 山 山 日 頹 春 風 送 我 歸 去 來 
X62n1211_001:0827a24	題沈浴鯨拜家慶圖	題 沈 浴 鯨 拜 家 慶 圖 
X62n1211_001:0827b01	想為身如棄。秋風乍遠飛。隔年春色好。忽向故園歸。	想 為 身 如 棄 秋 風 乍 遠 飛 隔 年 春 色 好 忽 向 故 園 歸 
X62n1211_001:0827b02	酒熟初開甕。華香靜掩扉。那知鐘鼎貴。且試老萊衣。	酒 熟 初 開 甕 華 香 靜 掩 扉 那 知 鐘 鼎 貴 且 試 老 萊 衣 
X62n1211_001:0827b03	北行即事	北 行 即 事 
X62n1211_001:0827b04	古壁張圖畫。草橋一夢中。有情成世界。寂寞向西風。	古 壁 張 圖 畫 草 橋 一 夢 中 有 情 成 世 界 寂 寞 向 西 風 
X62n1211_001:0827b05	墜粉枯嬌婢。游絲罥小僮。五陵年少客。到此莫匇匇。	墜 粉 枯 嬌 婢 游 絲 罥 小 僮 五 陵 年 少 客 到 此 莫 匇 匇 
X62n1211_001:0827b06	庭前有遺粟。鳥雀共欣欣。回首見人影。翻然入遠雲。	庭 前 有 遺 粟 鳥 雀 共 欣 欣 回 首 見 人 影 翻 然 入 遠 雲 
X62n1211_001:0827b07	機心如得盡。萬物可同羣。到處春風裏。何人不共君。	機 心 如 得 盡 萬 物 可 同 羣 到 處 春 風 裏 何 人 不 共 君 
X62n1211_001:0827b08	過勤息菴憶曉峯和尚	過 勤 息 菴 憶 曉 峯 和 尚 
X62n1211_001:0827b09	十里西郊訪友回。華陽橋畔且裵褢。松陰一徑門長	十 里 西 郊 訪 友 回 華 陽 橋 畔 且 裵 褢 松 陰 一 徑 門 長 
X62n1211_001:0827b10	閉。肯為閒人特地開。	閉 肯 為 閒 人 特 地 開 
X62n1211_001:0827b11	來去何心得自便。趙州茶罷意翛然。歸來添箇新功	來 去 何 心 得 自 便 趙 州 茶 罷 意 翛 然 歸 來 添 箇 新 功 
X62n1211_001:0827b12	課。消盡爐香對月瞑。	課 消 盡 爐 香 對 月 瞑 
X62n1211_001:0827b13	北行書感十首	北 行 書 感 十 首 
X62n1211_001:0827b14	瑤池消息報初春。痛絕香山老侍臣。扶杖江頭重問	瑤 池 消 息 報 初 春 痛 絕 香 山 老 侍 臣 扶 杖 江 頭 重 問 
X62n1211_001:0827b15	渡。可無欵語慰宵晨。	渡 可 無 欵 語 慰 宵 晨 
X62n1211_001:0827b16	冷淡生涯愛日長。隨身經卷伴爐香。龐家佛法無多	冷 淡 生 涯 愛 日 長 隨 身 經 卷 伴 爐 香 龐 家 佛 法 無 多 
