X64n1271_001:0778a22	　水雲渺渺亂聲哮　　密密尋踪路更遙	 水 雲 渺 渺 亂 聲 哮 密 密 尋 踪 路 更 遙 
X64n1271_001:0778a23	　晝夜風霜不知處　　恐伊相犯別家苗	 晝 夜 風 霜 不 知 處 恐 伊 相 犯 別 家 苗 
X64n1271_001:0778a24	初調	初 調 
X64n1271_001:0778b01	　纔獲繩頭把鼻穿　　謾將痛處更加鞭	 纔 獲 繩 頭 把 鼻 穿 謾 將 痛 處 更 加 鞭 
X64n1271_001:0778b02	　也知鄉井迢迢遠　　拽轉頭來著力牽	 也 知 鄉 井 迢 迢 遠 拽 轉 頭 來 著 力 牽 
X64n1271_001:0778b03	受制	受 制 
X64n1271_001:0778b04	　不從他性遠驅馳　　寸步提持漫漫隨	 不 從 他 性 遠 驅 馳 寸 步 提 持 漫 漫 隨 
X64n1271_001:0778b05	　幾度黑風吹瀑雨　　通身泥水總忘疲	 幾 度 黑 風 吹 瀑 雨 通 身 泥 水 總 忘 疲 
X64n1271_001:0778b06	回首	回 首 
X64n1271_001:0778b07	　驀地忘機自轉頭　　悄然性氣已調柔	 驀 地 忘 機 自 轉 頭 悄 然 性 氣 已 調 柔 
X64n1271_001:0778b08	　山中水草了知足　　不用遲疑在外留	 山 中 水 草 了 知 足 不 用 遲 疑 在 外 留 
X64n1271_001:0778b09	馴伏	馴 伏 
X64n1271_001:0778b10	　閒放林間與水邊　　橫騎短笛任悠然	 閒 放 林 間 與 水 邊 橫 騎 短 笛 任 悠 然 
X64n1271_001:0778b11	　歸來一帶烟霞晚　　瀟灑歌謠不假牽	 歸 來 一 帶 烟 霞 晚 瀟 灑 歌 謠 不 假 牽 
X64n1271_001:0778b12	無碍	無 碍 
X64n1271_001:0778b13	　出入無欄心自如　　擬思量處更猶拘	 出 入 無 欄 心 自 如 擬 思 量 處 更 猶 拘 
X64n1271_001:0778b14	　滿懷風月人牛穩　　鞭索俱忘樂有餘	 滿 懷 風 月 人 牛 穩 鞭 索 俱 忘 樂 有 餘 
X64n1271_001:0778b15	任運	任 運 
X64n1271_001:0778b16	　野岸溪灣花柳中　　一環山水翠林茸	 野 岸 溪 灣 花 柳 中 一 環 山 水 翠 林 茸 
X64n1271_001:0778b17	　逍遙快活無求也　　軟草為氈睡興濃	 逍 遙 快 活 無 求 也 軟 草 為 氈 睡 興 濃 
X64n1271_001:0778b18	相忘	相 忘 
X64n1271_001:0778b19	　拶到忘懷混沌中　　千山一色絕相同	 拶 到 忘 懷 混 沌 中 千 山 一 色 絕 相 同 
X64n1271_001:0778b20	　風光不覺人牛處　　任運騰騰西復東	 風 光 不 覺 人 牛 處 任 運 騰 騰 西 復 東 
X64n1271_001:0778b21	獨照	獨 照 
X64n1271_001:0778b22	　不須收放得安閒　　脫略尋常[(厂@((既旡)日+口))*頁]盻間	 不 須 收 放 得 安 閒 脫 略 尋 常 [厂既旡日口頁] 盻 間 
X64n1271_001:0778b23	　散步謾歸明月下　　踏翻從上兩重關	 散 步 謾 歸 明 月 下 踏 翻 從 上 兩 重 關 
X64n1271_001:0778b24	雙泯	雙 泯 
X64n1271_001:0778c01	　人牛處處竟無蹤　　新月孤懸萬象空	 人 牛 處 處 竟 無 蹤 新 月 孤 懸 萬 象 空 
X64n1271_001:0778c02	　借問歸源端的旨　　枯樁春到綠叢叢	 借 問 歸 源 端 的 旨 枯 樁 春 到 綠 叢 叢 
X64n1271_001:0778c03	東塔和尚和牧牛圖頌(師諱海明號破山嗣法天童)	東 塔 和 尚 和 牧 牛 圖 頌 師 諱 海 明 號 破 山 嗣 法 天 童 
X64n1271_001:0778c04	未牧	未 牧 
X64n1271_001:0778c05	　頭角崢嶸便吼哮　　奔兢烟水路迢遙	 頭 角 崢 嶸 便 吼 哮 奔 兢 烟 水 路 迢 遙 
X64n1271_001:0778c06	　牧童草料渾無戀　　孰肯平田犯稼苗	 牧 童 草 料 渾 無 戀 孰 肯 平 田 犯 稼 苗 
X64n1271_001:0778c07	初調	初 調 
X64n1271_001:0778c08	　牛兒鼻孔被繩穿　　放去收來不假鞭	 牛 兒 鼻 孔 被 繩 穿 放 去 收 來 不 假 鞭 
X64n1271_001:0778c09	　擬向東西兩處觸　　一回入草一回牽	 擬 向 東 西 兩 處 觸 一 回 入 草 一 回 牽 
X64n1271_001:0778c10	受制	受 制 
X64n1271_001:0778c11	　年深日久懶奔馳　　雲影溪光逐漸隨	 年 深 日 久 懶 奔 馳 雲 影 溪 光 逐 漸 隨 
X64n1271_001:0778c12	　任是上林花鳥過　　聲聲難喚牧兒疲	 任 是 上 林 花 鳥 過 聲 聲 難 喚 牧 兒 疲 
X64n1271_001:0778c13	回首	回 首 
X64n1271_001:0778c14	　計窮力極喚回頭　　謾把鞭繩閑放柔	 計 窮 力 極 喚 回 頭 謾 把 鞭 繩 閑 放 柔 
X64n1271_001:0778c15	　七縱八擒縛樹下　　山童猶未肯停留	 七 縱 八 擒 縛 樹 下 山 童 猶 未 肯 停 留 
X64n1271_001:0778c16	馴伏	馴 伏 
X64n1271_001:0778c17	　山間林下水溪邊　　一飽無餘慶快然	 山 間 林 下 水 溪 邊 一 飽 無 餘 慶 快 然 
X64n1271_001:0778c18	　撒手童兒歸路晚　　和牛急向遠村牽	 撒 手 童 兒 歸 路 晚 和 牛 急 向 遠 村 牽 
X64n1271_001:0778c19	無碍	無 碍 
X64n1271_001:0778c20	　穩眠露地意如如　　陽燄空花何所拘	 穩 眠 露 地 意 如 如 陽 燄 空 花 何 所 拘 
X64n1271_001:0778c21	　松韻山童弄鐵笛　　輕輕吹醒樂無餘	 松 韻 山 童 弄 鐵 笛 輕 輕 吹 醒 樂 無 餘 
X64n1271_001:0778c22	任運	任 運 
X64n1271_001:0778c23	　南北東西任運中　　脚頭脚底草茸茸	 南 北 東 西 任 運 中 脚 頭 脚 底 草 茸 茸 
X64n1271_001:0778c24	　飽飡只剩些些意　　留與山童瞌睡濃	 飽 飡 只 剩 些 些 意 留 與 山 童 瞌 睡 濃 
X64n1271_001:0779a01	相忘	相 忘 
X64n1271_001:0779a02	　雲牛一片白其中　　那有雌黃與異同	 雲 牛 一 片 白 其 中 那 有 雌 黃 與 異 同 
X64n1271_001:0779a03	　就裏欲分纖細子　　騰騰運運復西東	 就 裏 欲 分 纖 細 子 騰 騰 運 運 復 西 東 
X64n1271_001:0779a04	獨照	獨 照 
X64n1271_001:0779a05	　牧童皷掌自閒閒　　始信牛踪沒此間	 牧 童 皷 掌 自 閒 閒 始 信 牛 踪 沒 此 間 
X64n1271_001:0779a06	　遂得殷懃謾且喜　　猶存星月照幽關	 遂 得 殷 懃 謾 且 喜 猶 存 星 月 照 幽 關 
X64n1271_001:0779a07	雙泯	雙 泯 
X64n1271_001:0779a08	　人牛頓盡絕形踪　　浩浩光吞宇宙空	 人 牛 頓 盡 絕 形 踪 浩 浩 光 吞 宇 宙 空 
X64n1271_001:0779a09	　明月蘆花來問的　　東風吹起自叢叢	 明 月 蘆 花 來 問 的 東 風 吹 起 自 叢 叢 
X64n1271_001:0779a10	萬如禪師和牧牛圖頌(師諱通微)	萬 如 禪 師 和 牧 牛 圖 頌 師 諱 通 微 
X64n1271_001:0779a11	未牧	未 牧 
X64n1271_001:0779a12	　劣性麤狂向外迯　　鄉關迢遞不知遙	 劣 性 麤 狂 向 外 迯 鄉 關 迢 遞 不 知 遙 
X64n1271_001:0779a13	　分明觸處荒田地　　那肯回頭惜異苗	 分 明 觸 處 荒 田 地 那 肯 回 頭 惜 異 苗 
X64n1271_001:0779a14	初調	初 調 
X64n1271_001:0779a15	　驀路相逢把鼻穿　　饒伊惡性猛加鞭	 驀 路 相 逢 把 鼻 穿 饒 伊 惡 性 猛 加 鞭 
X64n1271_001:0779a16	　從今已得繩頭在　　纔要奔趨只一牽	 從 今 已 得 繩 頭 在 纔 要 奔 趨 只 一 牽 
X64n1271_001:0779a17	受制	受 制 
X64n1271_001:0779a18	　暫息顛頑暫息馳　　頻頻相[(厂@((既旡)日+口))*頁]也相隨	 暫 息 顛 頑 暫 息 馳 頻 頻 相 [厂既旡日口頁] 也 相 隨 
X64n1271_001:0779a19	　芒繩雖緩鞭尤樸　　不筭工夫不憚疲	 芒 繩 雖 緩 鞭 尤 樸 不 筭 工 夫 不 憚 疲 
X64n1271_001:0779a20	迴首	迴 首 
