T54n2135_001:1224c01	方　析覩哩罽拏又阿泥攞　     	方 析 覩 哩 罽 拏 又 阿 泥 攞 
T54n2135_001:1224c03	廣　吠補里也　    	廣 吠 補 里 也 
T54n2135_001:1224c04	相　攞乞尖拏　   	相 攞 乞 尖 拏 
T54n2135_001:1224c05	好　枳囉拏吠也　     	好 枳 囉 拏 吠 也 
T54n2135_001:1224c06	端正　勢嚩(無可反)又鉢羅娑地迦　  ‧ 	端 正 勢 嚩 無 可 反 又 鉢 羅 娑 地 迦 
T54n2135_001:1224c08	醜　阿勢嚩曩又訥唎縛喇喃　    	醜 阿 勢 嚩 曩 又 訥 唎 縛 喇 喃 
T54n2135_001:1224c10	垢　麼(上)(引)攞　  	垢 麼 上 引 攞 
T54n2135_001:1224c11	翳　底(丁以反)若羅　   	翳 底 丁 以 反 若 羅 
T54n2135_001:1224c12	淨　儞莾攞　   	淨 儞 莾 攞 
T54n2135_001:1224c13	淨　戍者又戍儞第又戍地　  ‧  ‧	淨 戍 者 又 戍 儞 第 又 戍 地 
T54n2135_001:1224c15	無垢　尾麼攞　   	無 垢 尾 麼 攞 
T54n2135_001:1224c16	色　娜羅　彩色之類　  	色 娜 羅 彩 色 之 類 
T54n2135_001:1224c17	碧　阿迦捨　   	碧 阿 迦 捨 
T54n2135_001:1224c18	青　[寧*頁](引)攞　  	青 [寧頁] 引 攞 
T54n2135_001:1224c19	黃　辟多攞又半豆盧　   ‧  	黃 辟 多 攞 又 半 豆 盧 
T54n2135_001:1224c20	赤　曷囉迦多　   	赤 曷 囉 迦 多 
T54n2135_001:1224c21	赤　路(引)[口*皿](上)多　   	赤 路 引 [口皿] 上 多 
T54n2135_001:1224c22	紅　矩素[□@薩]婆(上)　   	紅 矩 素 [薩] 婆 上 
T54n2135_001:1224c23	白　室制多　  	白 室 制 多 
T54n2135_001:1224c24	黑　訖哩(二合)史拏(二合)又迦攞　  ‧  	黑 訖 哩 二 合 史 拏 二 合 又 迦 攞 
T54n2135_001:1224c25	惡色　納羅嚩喇拏　  	惡 色 納 羅 嚩 喇 拏 
T54n2135_001:1225a01	色　嚩囉拏　   	色 嚩 囉 拏 
T54n2135_001:1225a02	好色　素囉囉拏　    	好 色 素 囉 囉 拏 
T54n2135_001:1225a03	綠　播(引)攞(引)舍　   	綠 播 引 攞 引 舍 
T54n2135_001:1225a04	紫　乳(而住反)耄羅婆　    	紫 乳 而 住 反 耄 羅 婆 
T54n2135_001:1225a05	影　車夜耶　  	影 車 夜 耶 
T54n2135_001:1225a06	填　地指多　   	填 地 指 多 
T54n2135_001:1225a07	拭　本齒娜　   	拭 本 齒 娜 
T54n2135_001:1225a08	耕　賀囉　  	耕 賀 囉 
T54n2135_001:1225a09	種　嗢嚕比哆　    	種 嗢 嚕 比 哆 
T54n2135_001:1225a10	畔　麼拏　  	畔 麼 拏 
T54n2135_001:1225a11	畝　紇麗怛囉亦田也　  	畝 紇 麗 怛 囉 亦 田 也 
T54n2135_001:1225a12	塗　禮跛　  	塗 禮 跛 
T54n2135_001:1225a13	錯問　薩吠賀吉底(二合)　   	錯 問 薩 吠 賀 吉 底 二 合 
T54n2135_001:1225a14	麤　薩普攞　  	麤 薩 普 攞 
T54n2135_001:1225a15	細　薩[口*皿]拏　   	細 薩 [口皿] 拏 
T54n2135_001:1225a16	耳　羯[口*栗]拏　  	耳 羯 [口栗] 拏 
T54n2135_001:1225a17	聽　室哩女(而住反)又室羅縛拏　  ‧  	聽 室 哩 女 而 住 反 又 室 羅 縛 拏 
T54n2135_001:1225a19	觀　嚩路迦耶　    	觀 嚩 路 迦 耶 
T54n2135_001:1225a20	聞　輸(上)曩　  	聞 輸 上 曩 
T54n2135_001:1225a21	聲　施物駄(二合)　  	聲 施 物 駄 二 合 
T54n2135_001:1225a22	響　鉢羅底輸(上)多迦薩嚩羅　     	響 鉢 羅 底 輸 上 多 迦 薩 嚩 羅 
T54n2135_001:1225a24	見　捺喇捨曩又嚩捨也　   ‧   	見 捺 喇 捨 曩 又 嚩 捨 也 
T54n2135_001:1225a25	言　韈折娜　   	言 韈 折 娜 
T54n2135_001:1225b01	語　嚩(無可反)拏　  	語 嚩 無 可 反 拏 
T54n2135_001:1225b02	應　鉢羅底喻多　   	應 鉢 羅 底 喻 多 
T54n2135_001:1225b03	語　阿(引)攞波門(俓)答　	語 阿 引 攞 波 門 俓 答 
T54n2135_001:1225b04	說　泥(去)賒哆又婆史多　   ‧   	說 泥 去 賒 哆 又 婆 史 多 
T54n2135_001:1225b05	勅　阿吉孃　 	勅 阿 吉 孃 
T54n2135_001:1225b06	奏　尾吉孃波底　   	奏 尾 吉 孃 波 底 
T54n2135_001:1225b07	講　尾也企也曩　   	講 尾 也 企 也 曩 
T54n2135_001:1225b08	論　嚩戍曩　   	論 嚩 戍 曩 
T54n2135_001:1225b09	一邊　翳咤迦(又云偏也)　   	一 邊 翳 咤 迦 又 云 偏 也 
T54n2135_001:1225b10	聽許　阿拏日喏哆　     	聽 許 阿 拏 日 喏 哆 
T54n2135_001:1225b11	讚　戍怛羅　  	讚 戍 怛 羅 
T54n2135_001:1225b12	詠　薩哆嚩　  	詠 薩 哆 嚩 
T54n2135_001:1225b13	歌　捨(引)以　  	歌 捨 引 以 
T54n2135_001:1225b14	歌　捨(引)駄嚩(無可反)　   	歌 捨 引 駄 嚩 無 可 反 
T54n2135_001:1225b15	笑　賀娑也又賀[口*死]多　   ‧   	笑 賀 娑 也 又 賀 [口死] 多 
T54n2135_001:1225b16	哭　[口*束*頁](去)縛　  	哭 [口束頁] 去 縛 
T54n2135_001:1225b17	啼哭　嚕娜底　   	啼 哭 嚕 娜 底 
T54n2135_001:1225b18	吉　(如下)	吉 如 下 
T54n2135_001:1225b19	凶　(如下)	凶 如 下 
T54n2135_001:1225b20	叫　卜迦(去)[款欠+余]　   	叫 卜 迦 去 [款欠余] 
T54n2135_001:1225b21	嗹　[口*栗]他(去)尾地　   	嗹 [口栗] 他 去 尾 地 
T54n2135_001:1225b22	[口*磬]　迦(去)(引)娑　  	[口磬] 迦 去 引 娑 
T54n2135_001:1225b23	鼻　(如前)	鼻 如 前 
T54n2135_001:1225b24	獨　迦嚩嚂　   	獨 迦 嚩 嚂 
T54n2135_001:1225b25	偏　(如前已有)	偏 如 前 已 有 
T54n2135_001:1225c01	嗅　蘇(上)娜舍(二合)　  	嗅 蘇 上 娜 舍 二 合 
T54n2135_001:1225c02	氣　臭氣之類誐駄　  	氣 臭 氣 之 類 誐 駄 
T54n2135_001:1225c03	名聞　耶舍　  	名 聞 耶 舍 
T54n2135_001:1225c04	臭　納誐馱　   	臭 納 誐 馱 
T54n2135_001:1225c05	香　素誐駄　   	香 素 誐 駄 
T54n2135_001:1225c06	舌　(如前)	舌 如 前 
T54n2135_001:1225c07	飢　素覩乞史娜又紇數馱　   ‧  	飢 素 覩 乞 史 娜 又 紇 數 馱 
T54n2135_001:1225c08	飽　阿捨拏　   	飽 阿 捨 拏 
T54n2135_001:1225c09	喫　地娜又蒲喏娜　  ‧   	喫 地 娜 又 蒲 喏 娜 
T54n2135_001:1225c10	飲　比縛　  	飲 比 縛 
T54n2135_001:1225c11	嚼　析喇嚩　  	嚼 析 喇 嚩 
T54n2135_001:1225c12	啗　阿薩駄訶　    	啗 阿 薩 駄 訶 
T54n2135_001:1225c13	味　羅娑　  	味 羅 娑 
T54n2135_001:1225c14	羹　麼叻瑟姹　  	羹 麼 叻 瑟 姹 
T54n2135_001:1225c15	噉　佉馱耶　   	噉 佉 馱 耶 
T54n2135_001:1225c16	癭　訖[口*栗]捨　  	癭 訖 [口栗] 捨 
T54n2135_001:1225c17	肥　母吒吒　  	肥 母 吒 吒 
T54n2135_001:1225c18	瘦	瘦 
T54n2135_001:1225c19	樂　素佉　  	樂 素 佉 
T54n2135_001:1225c20	苦　納佉　  	苦 納 佉 
T54n2135_001:1225c21	始　阿怛多　 	始 阿 怛 多 
T54n2135_001:1225c22	終　阿娜比　   	終 阿 娜 比 
T54n2135_001:1225c23	甜　麼度囉　   	甜 麼 度 囉 
T54n2135_001:1225c24	苦　底訖多(二合)　  	苦 底 訖 多 二 合 
T54n2135_001:1225c25	辛　迦柱迦　   	辛 迦 柱 迦 
T54n2135_001:1226a01	嫌　乳遇(上)鉢多　   	嫌 乳 遇 上 鉢 多 
T54n2135_001:1226a02	酢　阿銘攞　   	酢 阿 銘 攞 
T54n2135_001:1226a03	喧	喧 
T54n2135_001:1226a04	靜　舍底　  	靜 舍 底 
T54n2135_001:1226a05	渴　涅哩(二合)始　  	渴 涅 哩 二 合 始 
T54n2135_001:1226a06	身　迦(去)(引)野　  	身 迦 去 引 野 
T54n2135_001:1226a07	酌　捺喇地　  	酌 捺 喇 地 
T54n2135_001:1226a08	斟　折吒補迦　    	斟 折 吒 補 迦 
T54n2135_001:1226a09	觸　薩婆羅奢(二合)　  	觸 薩 婆 羅 奢 二 合 
T54n2135_001:1226a10	著　攞輸　  	著 攞 輸 
T54n2135_001:1226a11	封　母捺羅(亦印也)　  	封 母 捺 羅 亦 印 也 
T54n2135_001:1226a12	持　駄[口*(款欠+余)]又駄羅　  ‧  	持 駄 [口款欠余] 又 駄 羅 
T54n2135_001:1226a13	堀　涅蘇達彌　    	堀 涅 蘇 達 彌 
